number,achieve'money,change(%)
865298,8847404,0.1442
1129990,11495239,0.1883
2318872,23124626,0.3865
1380189,13971725,0.23
3043763,31714627,0.5073
1492170,15211698,0.2487
743574,7548270,0.1239
1226514,12603696,0.2044
1617489,16308734,0.2696
572710,5786663,0.0955
809550,8134135,0.1349
1286706,12914650,0.2145
846635,8415787,0.1411
2397979,24034591,0.3997
1180957,11676789,0.1968
1376316,13716901,0.2294
1694605,16928617,0.2824
1208250,12125308,0.2014
601238,5985756,0.1002
1232421,12320074,0.2054
1315959,13311931,0.2193
1531440,15282560,0.2552
1545164,15349888,0.2575
2219125,21659907,0.3699
1821746,17245671,0.3036
8053978,73598787,1.3423
14351902,138977360,2.392
6175312,56492999,1.0292
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
16252118,151195870,2.7087
20616171,199555074,3.436
9862046,92726848,1.6437
35624785,357536607,5.9375
18500975,185463257,3.0835
15488144,154355849,2.5814
33774314,344912904,5.6291
116581066,1133235581,12.9535
40029833,395495503,4.4478
22383406,216056587,2.487
9221879,88924747,1.0247
19975811,195213178,2.2195
33974484,341870097,3.7749
16721870,169808283,1.858
34367124,356845519,3.8186
13594932,137757904,1.5105
7363902,74658294,0.8182
9994323,102326634,1.1105
14343147,146725623,1.5937
8957230,91107935,0.9952
10980561,110205051,1.2201
12975956,128632751,1.4418
7187176,71654199,0.7986
7126387,71001861,0.7918
12541191,122433601,1.3935
6229956,59989625,0.6922
7620862,74292087,0.8468
6114314,60191829,0.6794
11331997,112757936,1.2591
8520455,84194611,0.9467
3291616,32482658,0.3657
14597064,146875952,1.6219
5689559,56832636,0.6322
6582164,65264487,0.7314
4735706,46682181,0.5262
6386023,62401639,0.7096
6575833,63759939,0.7306
3577658,34725875,0.3975
4761882,46425242,0.5291
2841542,27704235,0.3157
4587254,44595954,0.5097
14080684,140550448,1.5645
36964877,376794580,4.1072
24013578,246616678,2.6682
26601317,276727873,2.9557
17338556,181585714,1.9265
14298488,147661360,1.5887
24322382,254876184,2.7025
34172348,367321300,3.7969
34222897,375073151,3.8025
19916482,221418573,2.2129
26178788,293529294,2.9088
12150936,135763081,1.3501
14263189,156867953,1.5848
17286134,192896374,1.9207
27955634,320779808,3.1062
13103448,149168229,1.4559
29247662,338301232,3.2497
31914726,378480874,3.5461
22867127,271678299,2.5408
40222809,488134027,4.4692
23582450,292303561,2.6203
62459966,817409076,6.94
31091088,400973612,3.4546
23871491,294765033,2.6524
33960161,408135691,3.7734
11885380,143904683,1.3206
16839043,202494712,1.871
30934775,355364498,3.4372
N/A,N/A,N/A
50778626,615538713,5.6421
N/A,N/A,N/A
60584539,782734323,6.7316
45508771,608646385,5.0565
56370527,757441273,6.2634
27955270,368594717,3.1061
27138837,365308199,3.0154
20389465,278106882,2.2655
17961488,239048377,1.9957
16383516,213850728,1.8204
12182843,159212686,1.3536
26547685,356202101,2.9497
30656079,421301020,3.4062
24897680,342786675,2.7664
27548434,385153296,3.0609
21135222,290035683,2.3484
18835574,251137171,2.0928
14714249,197468516,1.6349
8962685,118824962,0.9959
11268409,149854674,1.252
13189398,174078567,1.4655
8716086,116001781,0.9685
11487917,149943200,1.2764
11874312,151682974,1.3194
11935770,151103351,1.3262
10151698,129806790,1.128
5616708,71825942,0.6241
10409956,133606381,1.1567
7404841,92822138,0.8228
14430424,177655329,1.6034
15106061,185848340,1.6785
13677133,168539601,1.5197
9476696,116307041,1.053
8765744,104179632,0.974
8774040,103127246,0.9749
7867993,91770170,0.8742
15873335,184935455,1.7637
8218960,95644708,0.9132
5711942,66314637,0.6347
11071817,130667335,1.2302
9744458,116521113,1.0827
6808429,81887663,0.7565
9763576,114828183,1.0848
5204960,60584933,0.5783
4679305,55442304,0.5199
4184799,48785196,0.465
14960027,178236234,1.6622
14451579,174384519,1.6057
3476020,41677211,0.3862
5579972,67291698,0.62
4577348,55621173,0.5086
10850593,132915487,1.2056
11299943,136491375,1.2555
5635530,66318599,0.6262
17978200,207688078,1.9976
5261093,60559635,0.5846
5448269,62374388,0.6054
8215006,93186281,0.9128
10566640,117132848,1.1741
6146181,68588410,0.6829
4896346,54278865,0.544
5798689,64041619,0.6443
5074928,56389187,0.5639
6013722,68181690,0.6682
2574495,29204768,0.2861
3729625,41799167,0.4144
5378191,60977097,0.5976
3770945,42034746,0.419
2133073,23752932,0.237
3350981,37721673,0.3723
2057218,22928330,0.2286
4236354,46786667,0.4707
5196086,56877071,0.5773
1945242,21164515,0.2161
2393905,26073672,0.266
2706216,29250960,0.3007
2172229,23322956,0.2414
4773966,50877546,0.5304
3775764,39153511,0.4195
